GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Ningxia-Gas-2022,2022,530.0,0
Qinghai-Gas-2022,2022,10.0,0
Shaanxi-Gas-2022,2022,270.0,0
Shandong-Gas-2022,2022,170.0,0
Shanghai-Gas-2022,2022,8150.0,0
Shanxi-Gas-2022,2022,3550.0,0
Sichuan-Gas-2022,2022,1450.0,0
Tianjin-Gas-2022,2022,5610.0,0
West_Inner_Mongolia-Gas-2022,2022,420.0,0
Xinjiang-Gas-2022,2022,1260.0,0
Yunnan-Gas-2022,2022,30.0,0
Zhejiang-Gas-2022,2022,13280.0,0
Anhui-Hydro_Nonpumped-2022,2022,6220.0,1
Beijing-Hydro_Nonpumped-2022,2022,1020.0,1
Chongqing-Hydro_Nonpumped-2022,2022,7910.0,1
East_Inner_Mongolia-Hydro_Nonpumped-2022,2022,,1
Fujian-Hydro_Nonpumped-2022,2022,15380.0,1
Gansu-Hydro_Nonpumped-2022,2022,9720.0,1
Guangdong-Hydro_Nonpumped-2022,2022,19060.0,1
Guangxi-Hydro_Nonpumped-2022,2022,18130.0,1
Guizhou-Hydro_Nonpumped-2022,2022,22820.0,1
Hainan-Hydro_Nonpumped-2022,2022,1530.0,1
Hebei-Hydro_Nonpumped-2022,2022,3930.0,1
Heilongjiang-Hydro_Nonpumped-2022,2022,2300.0,1
Henan-Hydro_Nonpumped-2022,2022,4390.0,1
Hubei-Hydro_Nonpumped-2022,2022,37800.0,1
Hunan-Hydro_Nonpumped-2022,2022,15870.0,1
Jiangsu-Hydro_Nonpumped-2022,2022,2650.0,1
Jiangxi-Hydro_Nonpumped-2022,2022,6860.0,1
Jilin-Hydro_Nonpumped-2022,2022,6460.0,1
Liaoning-Hydro_Nonpumped-2022,2022,3050.0,1
Ningxia-Hydro_Nonpumped-2022,2022,430.0,1
Qinghai-Hydro_Nonpumped-2022,2022,12610.0,1
Shaanxi-Hydro_Nonpumped-2022,2022,3500.0,1
Shandong-Hydro_Nonpumped-2022,2022,2280.0,1
Shanxi-Hydro_Nonpumped-2022,2022,2240.0,1
Sichuan-Hydro_Nonpumped-2022,2022,97490.0,1
Tianjin-Hydro_Nonpumped-2022,2022,10.0,1
Tibet-Hydro_Nonpumped-2022,2022,2920.0,1
West_Inner_Mongolia-Hydro_Nonpumped-2022,2022,2410.0,1
Xinjiang-Hydro_Nonpumped-2022,2022,9570.0,1
Yunnan-Hydro_Nonpumped-2022,2022,81120.0,1
Zhejiang-Hydro_Nonpumped-2022,2022,13840.0,1
Anhui-Wind-2022,2022,5900.0,1
Beijing-Wind-2022,2022,240.0,1
Chongqing-Wind-2022,2022,1820.0,1
East_Inner_Mongolia-Wind-2022,2022,,1
Fujian-Wind-2022,2022,7420.0,1
Gansu-Wind-2022,2022,20730.0,1
Guangdong-Wind-2022,2022,13570.0,1
Guangxi-Wind-2022,2022,9460.0,1
Guizhou-Wind-2022,2022,5920.0,1
Hainan-Wind-2022,2022,290.0,1
Hebei-Wind-2022,2022,27970.0,1
Heilongjiang-Wind-2022,2022,9430.0,1
Henan-Wind-2022,2022,19030.0,1
Hubei-Wind-2022,2022,7780.0,1
Hunan-Wind-2022,2022,9000.0,1
Jiangsu-Wind-2022,2022,22540.0,1
Jiangxi-Wind-2022,2022,5550.0,1
Jilin-Wind-2022,2022,11430.0,1
Liaoning-Wind-2022,2022,11730.0,1
Ningxia-Wind-2022,2022,14570.0,1
Qinghai-Wind-2022,2022,9720.0,1
Shaanxi-Wind-2022,2022,11640.0,1
Shandong-Wind-2022,2022,23020.0,1
